"","survey.number","Deployment_ID","Start_long","Start_lat","End_long","End_lat","Depth","region","Acanthogorgia.sp","Acanthogorgiidae","Calcigorgia.sp","Antipatharia","Coral","Gorgonacea","Isididae","Paragorgia.sp","Alaskagorgia.aleutiana","Muriceides.sp","Plexauridae","Swiftia.sp","Arthrogorgia.sp","Fanellia.sp","Plumarella.aleutiana","Plumarella.sp","Primnoa.pacifica","Primnoidae","Thouarella.sp","Stylasteridae","Halipteris.sp","Pennatulacean","Ptilosarcus.gurneyi","Calcarea","Demosponge","Hexactinellid","Porifera","Bathy","Bcurrent","Btemp","Color","Slope","Tmax","RockCobble"
"697",3,"Data.3.D20150813-T092032",-141.024873,59.251686,-141.028447,59.249227,172.17663604617,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2824.93188630261,37.1701563987186,0,180.1637255725,0.00388371344652077,5.47656917785291,1377.30892930433,0.145274450707908,15.6793083039409,0.386221294363257
"698",3,"Data.3.D20150814-T105017",-140.582387,59.092503,-140.588547,59.090778,149.559254122995,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3632.60072149013,0,0,147.659407824966,0.00415119097257881,6.01152301317031,1368.46694953687,0.0198773684447424,14.2955162398172,0.408751334044824
"699",3,"Data.3.D20150814-T113523",-140.556713,59.121558,-140.562997,59.120155,140.777799653017,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51660709694543,0,0,0,45.0996425816726,127.782320648072,0,150.231978981767,0.0039107076432382,6.03931437001291,1369.49233394718,0.0930636743590299,12.2902428375934,0.524678111587983
"700",3,"Data.3.D20150815-T223433",-148.716318,58.409083,-148.711475,58.408614,126.47499168239,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.699883895449,163.208541573116,0,0,0,54.4028471910385,1151.52693221032,0,128.240699542674,0.0220354560666262,5.52853099606051,1638.78432397949,0.172500643544232,50.9113610348146,0.369905956112853
"701",3,"Data.3.D20150815-T231447",-148.687231,58.411325,-148.680689,58.412135,128.881265111228,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500.70900889967,357.83719315044,0,0,0,377.717037214354,1172.91079977089,0,126.812674471783,0.022845628266925,5.49617148502639,1624.10108984458,0.119090897304968,49.7587719798769,0.480628272251309
"702",3,"Data.3.D20150816-T014840",-148.771709,58.28703,-148.765986,58.287487,132.658487535005,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.258298022996,103.122655367359,0,0,0,2578.06638418397,51.5613276836794,0,130.329782012157,0.0221396459326563,5.32375899256638,1600.80177764119,0.220558951528379,47.2534361734441,0.234619395203337
"703",3,"Data.3.D20150816-T024210",-148.773061,58.312061,-148.769111,58.312497,128.478437397089,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4716237769057,0,0,0,560.320283920403,648.791907697308,0,127.645981515503,0.0221062009682572,5.41395679539591,1619.42054842869,0.177446356685255,50.5415769650428,0.434647302904564
"704",3,"Data.3.D20150816-T052120",-149.020679,58.238262,-149.016237,58.241056,126.677231430571,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4814348059218,0,0,41.2345290049348,0,0,0,0,0,0,128.848393218818,0.0144738019854027,5.5352399127682,1698.71151546244,0.208671299508798,45.1463367542463,0.240601503759398
"705",3,"Data.3.D20150816-T055902",-148.991272,58.254249,-148.98748,58.257587,124.966218698113,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.7042616885674,0,0,0,9.18936240984083,18.3787248196817,0,125.072967860172,0.0149013904782337,5.53572177101211,1667.34425505728,0.10297851718046,46.4875695516132,0.228033472803347
"706",4,"Data.4.D20170616-T094812",-164.638175,54.29869667,-164.6334867,54.30284333,88.53224324,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5171907194729,0.0362836141915332,4.74637872944493,881.227462052078,1.21582430324483,82.2877613183499,0
"707",4,"Data.4.D20170616-T102905",-164.6641083,54.27302167,-164.6599433,54.27535333,100.2117313,"GOA",0,0,0,0,0,0,0,6.79905409863646,0,0,0,0,0,0,0,0,0,0,0,6.79905409863646,0,0,0,0,3589.90056408005,0,0,95.5589487335365,0.0365511082612453,4.75463265742804,866.514038918327,1.34990795406816,96.229693514752,1
"708",4,"Data.4.D20170616-T123155",-164.6339117,54.24537833,-164.6307017,54.241815,100.9215705,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3828742970932,0.0354906909144627,4.6795269679353,881.715649383762,1.34451246614212,75.9264694704183,0
"709",4,"Data.4.D20170616-T131350",-164.610845,54.23270833,-164.6016983,54.2329,100.8573529,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.62490416965,0,0,97.3451894989064,0.0331644064461403,4.63623560398282,884.139314792324,0.960887972173555,66.8092563120779,0
"710",4,"Data.4.D20170617-T090456",-163.6211017,54.11559,-163.618255,54.11786167,89.81890855,"GOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5769279384666,0.00383610070488993,4.47957961386436,1131.25552954921,0.243448329569526,20.5802712543591,0
